model,case,group,n,nmse,nmse_db,median_db,energy_weighted_db
Hold,csi_32,switch_window,1616,161.23280567314993,22.074534113728596,-0.08198675912671244,-0.06483156301567952
Linear,csi_32,switch_window,1616,10558.82947713207,40.23615776171404,5.583425571282948,7.824518677733904
W,csi_4,all,10356,6.115197658538818,7.864104990870025,-7.072948328145518,-0.349324714990416
Hold,csi_4,all,10356,29.817201182167523,14.744668755963112,-9.804484768150935,-0.2940858015142565
Linear,csi_4,all,10356,1094.4790302349338,30.392074450812018,-5.004947511404511,6.076153963480441
W,csi_4,near,5184,0.6103649139404297,-2.1441043920785194,-6.579135574241511,-3.8889718588354683
Hold,csi_4,near,5184,1.3356931938113352,1.257067129774362,-7.275039330103258,-3.3023670644905883
Linear,csi_4,near,5184,126.99725489316997,21.037943335730176,-3.9299094166457813,13.228275537744352
W,csi_4,far,5172,11.632802963256836,10.656843720634424,-7.606765342694091,-0.17421273960091843
Hold,csi_4,far,5172,58.36479155564751,17.66150938820381,-13.070930501943085,-0.1367494200814012
