model,group,query_s,n,nmse,nmse_db,median_db,energy_weighted_db
W,far_maneuver,0.20000000298023224,162,0.10242676734924316,-9.895865336633051,-10.158438243826263,-9.912763879861133
W,far_maneuver,0.30000001192092896,162,0.13311326503753662,-8.757786639426811,-8.899011691236673,-8.77272149096332
W,far_maneuver,0.4000000059604645,162,0.16898085176944733,-7.721625051023953,-7.83768015943282,-7.734071456653212
W,far_maneuver,0.5,162,0.2384219765663147,-6.226537159553133,-6.296313195670654,-6.241291896851208
W,far_normal,0.009999999776482582,162,0.09129001200199127,-10.39576735825027,-18.80079809810349,-10.098332825795671
W,far_normal,0.019999999552965164,162,0.08560274541378021,-10.675123065969668,-15.229897282917307,-10.406358374605922
W,far_normal,0.05000000074505806,162,0.08364676684141159,-10.775508409546715,-15.067939976420332,-10.47847212138577
W,far_normal,0.10000000149011612,162,0.11230486631393433,-9.496014247937536,-11.247640242120678,-9.346893213033216
W,far_normal,0.20000000298023224,162,0.16265247762203217,-7.887393168925396,-9.388225414952785,-7.762584573199857
W,far_normal,0.30000001192092896,162,0.18299780786037445,-7.375541126730959,-8.324199672735265,-7.281241190253919
W,far_normal,0.4000000059604645,162,0.20409587025642395,-6.9016578285370915,-7.666110753183633,-6.837701486004994
W,far_normal,0.5,162,0.27671507000923157,-5.579671883703183,-6.105825690661975,-5.545739049533889
W,far_occlusion,0.009999999776482582,324,0.7516994476318359,-1.2395576888458704,-5.775497235539407,-1.6857343597121295
W,far_occlusion,0.019999999552965164,324,2.441575050354004,3.8767007838613003,-6.424342697882327,-0.6621655241083806
W,far_occlusion,0.05000000074505806,324,11.687828063964844,10.677338142010061,-1.7795191024863448,-0.20773095585982518
W,far_occlusion,0.10000000149011612,324,15.410786628723145,11.878248074266978,-0.9627131949763021,-0.09197014071866877
W,far_occlusion,0.20000000298023224,324,23.9248046875,13.788484010575655,-0.5971864087049178,-0.04558806273157162
W,far_occlusion,0.30000001192092896,322,40.723907470703125,16.09849442009166,-0.38207569683172815,-0.029101477148561053
W,far_occlusion,0.4000000059604645,320,46.19452667236328,16.645905215127172,-0.3616644468520366,-0.02382180262778619
W,far_occlusion,0.5,318,32.73591232299805,15.150244488573003,-0.2197775154273199,-0.015587217503618984
W,near_maneuver,0.009999999776482582,162,0.030275292694568634,-15.189116495054195,-20.90153449087524,-15.082412548039494
W,near_maneuver,0.019999999552965164,162,0.08602964133024216,-10.653518877307127,-17.518269742060287,-10.491649234410003
W,near_maneuver,0.05000000074505806,162,0.08200247585773468,-10.86173034992872,-12.70785301840667,-10.720165704710613
W,near_maneuver,0.10000000149011612,162,0.126347154378891,-8.984345349190727,-9.666964518555506,-8.891474689397702
W,near_maneuver,0.20000000298023224,162,0.16306257247924805,-7.876457105172649,-8.402633423852716,-7.744652819674944
W,near_maneuver,0.30000001192092896,162,0.18853184580802917,-7.246152805215895,-7.589369937114041,-7.094238627210485
W,near_maneuver,0.4000000059604645,162,0.23829302191734314,-6.228886751825592,-6.65078055882732,-6.060239542578717
W,near_maneuver,0.5,162,0.31323251128196716,-5.041331676307518,-5.642610244039666,-4.867752865897454
W,near_normal,0.009999999776482582,162,0.32770809531211853,-4.845128301893131,-5.477008245764048,-4.670158323262577
W,near_normal,0.019999999552965164,162,0.35842302441596985,-4.456040998591664,-4.018944301639564,-4.417850229009421
