model,group,n,nmse,nmse_db,median_db,energy_weighted_db
WI,near_maneuver,1296,0.1486525535583496,-8.278276260703773,-8.938665711991183,-8.135436744477433
WI amplitude,near_maneuver,1296,0.09842126816511154,-10.06911043350284,-10.315200333528463,-10.017074837376537
WI phase aligned,near_maneuver,1296,0.14737828075885773,-8.315665140453905,-8.97425037485325,-8.173819854238522
WI,near_normal,1296,0.3019881546497345,-5.2001009171552495,-5.462114411384958,-5.10738969442457
WI amplitude,near_normal,1296,0.20094996690750122,-6.969120609916816,-7.219308099105665,-6.902177872497338
WI phase aligned,near_normal,1296,0.29365313053131104,-5.321653649377385,-5.695817493728121,-5.233879877491195
WI,near_occlusion,2592,0.6572470664978027,-1.8227134361134492,-4.773975199665682,-2.7980546352237967
WI amplitude,near_occlusion,2592,0.3727733790874481,-4.285551095375561,-7.130742593110536,-3.7185082800335234
WI phase aligned,near_occlusion,2592,0.4613041877746582,-3.3601260279652374,-5.695899164972738,-3.2974032403877453
WI,los,8656,0.25009629130363464,-6.018927484066778,-8.380000047129334,-0.38166415614036764
WI amplitude,los,8656,0.18545790016651154,-7.3175466179267,-9.245178027329516,-0.4424451709411995
WI phase aligned,los,8656,0.23505133390426636,-6.288372798698214,-8.483425229743828,-0.39793044818166173
WI,nlos,1700,32.371498107910156,15.101627984122597,0.13128344756565025,0.09921128689250712
WI amplitude,nlos,1700,29.845800399780273,14.748832302220569,-1.910964109211937,-0.5839953894893389
WI phase aligned,nlos,1700,31.344459533691406,14.9616078578579,-0.86794613590765,-0.44598610433600294
WI,switch_window,1616,32.95110321044922,15.178699594517248,-0.34772844754497945,-0.04815398443584934
WI amplitude,switch_window,1616,30.715150833129883,14.87352652354106,-3.1053247267999278,-0.08809259563421493
WI phase aligned,switch_window,1616,32.1748046875,15.075159192625643,-1.3456226095677095,-0.06526079065635962
WMI,all,10356,0.738969087600708,-1.31373728540531,-9.166876856911808,-0.3806645799310732
WMI amplitude,all,10356,0.5279268026351929,-2.7742628848005193,-12.559634980109742,-0.4725825693482084
WMI phase aligned,all,10356,0.6399890184402466,-1.938274780031768,-9.818482138970703,-0.42940056813320704
WMI,near,5184,0.3537382483482361,-4.513179790642296,-8.238176577737509,-4.718779526140825
WMI amplitude,near,5184,0.1931392252445221,-7.141295150489149,-11.68177965423757,-6.2848143370169645
WMI phase aligned,near,5184,0.2794453799724579,-5.537030661126812,-8.659787339920303,-5.193889912925764
WMI,far,5172,1.125093698501587,0.5118869226755582,-10.34974926494306,-0.18692101235761938
WMI amplitude,far,5172,0.8634909391403198,-0.6374221524997499,-13.571065137636708,-0.2471583837355122
WMI phase aligned,far,5172,1.0013692378997803,0.005942457251811201,-10.976444296438032,-0.22533919265247784
WMI,normal,2592,0.16537348926067352,-7.815341102042911,-11.806472139935176,-7.669211208294974
WMI amplitude,normal,2592,0.07729631662368774,-11.118412008827212,-14.997104938720016,-10.966451767742901
WMI phase aligned,normal,2592,0.1598813831806183,-7.96202103187067,-11.868543450782663,-7.821118564798449
WMI,maneuver,2592,0.09516247361898422,-10.21534277594073,-14.948909553920437,-10.196266243190665
WMI amplitude,maneuver,2592,0.05995171144604683,-12.221984145507038,-18.1037850929926,-12.345949938643656
WMI phase aligned,maneuver,2592,0.09432916343212128,-10.253540171294377,-14.960817847113114,-10.235863645490092
WMI,occlusion,5172,1.349082350730896,1.3003846069964233,-2.5981011253853614,-0.1544249474144136
WMI amplitude,occlusion,5172,0.9882950186729431,-0.051133936144533,-6.116476469361204,-0.22891559262539798
WMI phase aligned,occlusion,5172,1.1540627479553223,0.6222942264111156,-4.2494347847044205,-0.20263790881609062
WMI,far_maneuver,1296,0.09471969306468964,-10.235597179324685,-17.227377972259102,-10.479449082268243
WMI amplitude,far_maneuver,1296,0.08553638309240341,-10.67849117841436,-19.98766678313386,-10.94183905894593
WMI phase aligned,far_maneuver,1296,0.09443936496973038,-10.248469418714679,-17.262202411807635,-10.49258748385001
WMI,far_normal,1296,0.08557472378015518,-10.6765449401244,-14.56320925936065,-10.45864913356324
WMI amplitude,far_normal,1296,0.039746932685375214,-14.006963806984539,-17.63373151130435,-13.780990307440042
WMI phase aligned,far_normal,1296,0.08296862989664078,-10.810860815760321,-14.621849956793048,-10.6000666579809
