group,model,case,targets,nmse,nmse_db,median_nmse_db,p90_nmse_db,energy_weighted_nmse_db,complex_cosine,real_cosine,zero_prediction_cosines,amplitude_nmse_db,phase_aligned_nmse_db,worst_one_pct_error_share
near_los,WMI,offgrid_queries,2592,0.14632706082911837,-8.346753506895263,-12.14556117473127,-3.808933255467693,-8.229990088112654,0.9265187665438442,0.9239234829407998,0,-11.821621021266886,-8.492729804019648,0.06275306538549472
near_los,WMI,pattern_bursty,2592,0.14740133199237324,-8.314985919564522,-12.253528911305098,-3.7731542063146484,-8.233848058513324,0.9265362107792207,0.923417916600124,0,-11.797373456973972,-8.491826571964536,0.06495530463163578
near_los,WMI,pattern_gap,2592,0.14275347008106942,-8.45413326033124,-12.408434260000087,-3.995830724408402,-8.359240946357781,0.9292670350522255,0.9262613524120804,0,-11.840762246613298,-8.631855056565831,0.06681794263517564
near_los,WMI,pattern_recent,2592,0.14624026536235926,-8.349330335542826,-12.134720833723069,-3.8996509363033094,-8.296713392060795,0.926716391012873,0.9238142637451862,0,-11.769817686026702,-8.512616880218268,0.06527805868124487
near_los,WMI,pattern_uniform,2592,0.14015275507903244,-8.533983605946652,-12.594273058700196,-4.010320706442448,-8.43182373665281,0.9302577922415471,0.9274004133659748,0,-11.912745770565357,-8.705759075886363,0.06811504848710105
near_los,WMI,rgb_10,2592,0.14273513979041821,-8.454690952919817,-12.565502094180394,-3.865321672308437,-8.358823599378386,0.9290777276134193,0.9259616651800361,0,-11.851593510013236,-8.637545853139045,0.06684756743667036
near_los,WMI,rgb_2,2592,0.1427459937476902,-8.454360716473445,-12.573362819821634,-3.858589309521957,-8.358342436112737,0.9290765877837601,0.9259592033499375,0,-11.851238177319466,-8.637253144848842,0.06685763334352801
near_los,WMI,wrong_uniform_clocks,2592,0.1442058422350339,-8.410171446163089,-12.464006605414916,-3.8485952361858837,-8.309703956996806,0.928288154797983,0.925203356364552,0,-11.836626353561893,-8.589291336509984,0.06610957542484681
far_los,W,all_dense,2592,0.04001617157523989,-13.977644635079107,-18.92805552170193,-10.341697316331619,-13.819523486515424,0.9805401945472904,0.9799977364080734,0,-17.497045023938583,-14.091526896733274,0.15365076452726853
far_los,W,all_sparse,2592,0.044448498903269455,-13.521429012637318,-18.07159797961225,-9.590949452388768,-13.436868546764792,0.9783215137288528,0.9778045067629413,0,-17.306004070665463,-13.620306083643012,0.1298690478284675
