time_s,mean_abs_H_squared_db,los,path_count
1.48,-86.09624630149705,0,88
1.482,-86.11602254589025,0,88
1.484,-87.20070748985692,0,87
1.486,-87.22751858349723,0,87
1.488,-87.23065601070272,0,87
1.49,-87.23667573595534,0,87
1.492,-87.26511873715536,0,87
1.494,-87.29919478690843,0,87
1.496,-86.39774958763991,0,88
1.498,-86.2894988351947,0,87
1.5,-86.19481956416044,0,87
1.502,-86.13529633218664,0,87
1.504,-86.12226411957758,0,87
1.506,-86.14022718264604,0,87
1.508,-86.17870225755695,0,87
1.51,-86.24326251885239,0,87
1.512,-86.33868128227883,0,88
1.514,-86.4413994920043,0,88
1.516,-86.49796603563202,0,88
1.518,-86.48305992370626,0,88
1.52,-87.40672747089764,0,87
1.522,-87.41495364353204,0,87
1.524,-87.42946053010023,0,87
1.526,-87.42585060624522,0,87
1.528,-86.22134364179894,0,88
1.53,-86.22568438674008,0,87
1.532,-86.24911347072286,0,87
1.534,-86.29776202889121,0,87
1.536,-86.35822958684179,0,88
1.538,-86.34633160368593,0,88
1.54,-86.28735584848853,0,88
1.542,-86.22755940573953,0,88
1.544,-86.16494417570932,0,89
1.546,-87.19015151772052,0,88
1.548,-87.20173647432819,0,88
1.55,-87.21326788849551,0,88
1.552,-87.24936607419554,0,88
1.554,-87.31910164077014,0,88
1.556,-87.39674944625435,0,88
1.558,-87.44175088150604,0,88
1.56,-87.45161373372824,0,88
1.562,-87.45869428887679,0,88
1.564,-87.48496001144892,0,88
1.566,-87.51156924056738,0,88
1.568,-87.50712255889303,0,88
1.57,-87.46516479716931,0,88
1.572,-87.42382465229664,0,88
1.574,-87.41260514177452,0,88
1.576,-87.42116133044787,0,88
1.578,-87.42499625644425,0,88
1.58,-87.41581898215509,0,88
1.582,-87.41908499656445,0,88
1.584,-87.45365098164578,0,88
1.586,-87.50928483183655,0,88
1.588,-87.54852336129173,0,88
1.59,-87.54795847910418,0,87
1.592,-87.55915739955803,0,87
1.594,-87.59456746378657,0,87
1.596,-87.65000541468305,0,87
1.598,-87.68504431779067,0,87
1.6,-87.5414897534784,0,86
1.602,-87.5250988756554,0,86
1.604,-87.52389930234314,0,86
1.606,-87.53616794395349,0,86
1.608,-87.53307739036599,0,85
1.61,-87.48842314169048,0,85
1.612,-87.42694272372054,0,85
1.614,-87.3861552026078,0,85
1.616,-87.37516934936934,0,85
1.618,-87.37116611625702,0,85
1.62,-87.36092367243327,0,85
