route,time_s,mean_abs_H_squared_db,los
site_00_route_00,0.864,-71.22424523132123,0
site_00_route_00,0.866,-71.19758906568032,0
site_00_route_00,0.868,-71.1721418323765,0
site_00_route_00,0.87,-71.15259538110764,0
site_00_route_00,0.872,-71.14318274801634,0
site_00_route_00,0.874,-71.14553106093186,0
site_00_route_00,0.876,-71.15859689520265,0
site_00_route_00,0.878,-71.1802923061922,0
site_00_route_00,0.88,-71.20384279619282,0
site_00_route_00,0.882,-71.22371014679344,0
site_00_route_00,0.884,-71.2357060866996,0
site_00_route_00,0.886,-71.22949623724777,0
site_00_route_00,0.888,-71.21984814699677,0
site_00_route_00,0.89,-71.20308080519588,0
site_00_route_00,0.892,-71.18403651725944,0
site_00_route_00,0.894,-71.1645898506945,0
site_00_route_00,0.896,-69.22997003965385,0
site_00_route_00,0.898,-69.22193544737935,0
site_00_route_00,0.9,-69.22205286320427,0
site_00_route_00,0.902,-71.14404771919892,0
site_00_route_00,0.904,-69.24352798064541,0
site_00_route_00,0.906,-69.25975032783174,0
site_00_route_00,0.908,-69.27437952279172,0
site_00_route_00,0.91,-69.28396955555371,0
site_00_route_00,0.912,-69.28800772875243,0
site_00_route_00,0.914,-71.21347616772623,0
site_00_route_00,0.916,-71.20230973553663,0
site_00_route_00,0.918,-71.18812580685525,0
site_00_route_00,0.92,-71.17128397301269,0
site_00_route_00,0.922,-71.16108527099682,0
site_00_route_00,0.924,-71.15718416373198,0
site_00_route_00,0.926,-71.15863671312138,0
site_00_route_00,0.928,-71.16448711857004,0
site_00_route_00,0.93,-71.17336836971349,0
site_00_route_00,0.932,-71.18209697598886,0
site_00_route_00,0.934,-71.1885607738404,0
site_00_route_00,0.936,-71.19048465050697,0
site_00_route_00,0.938,-71.19342826034595,0
site_00_route_00,0.94,-71.19268250522971,0
site_00_route_00,0.942,-71.1598932990248,0
site_00_route_00,0.944,-71.18401342844383,0
site_00_route_00,0.946,-71.17709007422715,0
site_00_route_00,0.948,-71.18189375477715,0
site_00_route_00,0.95,-71.18933673860526,0
site_00_route_00,0.952,-71.1986010791305,0
site_00_route_00,0.954,-71.24231766539322,0
site_00_route_00,0.956,-70.90847272751961,0
site_00_route_00,0.958,-70.90693463303025,0
site_00_route_00,0.96,-69.01337962701105,0
site_00_route_00,0.962,-69.09028103171298,0
site_00_route_00,0.964,-69.16212389143601,0
site_00_route_00,0.966,-71.06893231829913,0
site_00_route_00,0.968,-69.23457773429577,0
site_00_route_00,0.97,-69.272966377831,0
site_00_route_00,0.972,-71.12550870398644,0
site_00_route_00,0.974,-71.05751108587005,0
site_00_route_00,0.976,-70.98599526497664,0
site_00_route_00,0.978,-70.91548295279694,0
site_00_route_00,0.98,-71.20868396087351,0
site_00_route_00,0.982,-71.19772416291161,0
site_00_route_00,0.984,-71.1843807331123,0
site_00_route_00,0.986,-71.17141995269081,0
site_00_route_00,0.988,-71.16244617416733,0
site_00_route_00,0.99,-71.15502050008169,0
site_00_route_00,0.992,-71.16231558325511,0
site_00_route_00,0.994,-71.17594926467564,0
site_00_route_00,0.996,-71.19215171673568,0
site_00_route_00,0.998,-71.20669759157944,0
site_00_route_00,1.0,-71.21520377460023,0
site_00_route_00,1.002,-71.21446839388211,0
site_00_route_00,1.004,-71.20500704101079,0
site_00_route_00,1.006,-71.19086130872168,0
site_00_route_00,1.008,-71.17083342862247,0
site_00_route_00,1.01,-71.15124411896991,0
site_00_route_00,1.012,-71.13683738900788,0
site_00_route_00,1.014,-71.13204780310303,0
site_00_route_00,1.016,-71.13954213634378,0
site_00_route_00,1.018,-71.15600589526929,0
site_00_route_00,1.02,-71.17803482874542,0
site_00_route_00,1.022,-71.2009139233703,0
site_00_route_00,1.024,-69.26113096012826,0
site_00_route_00,1.026,-69.26133223866907,0
site_00_route_00,1.028,-69.25722641542798,0
site_00_route_00,1.03,-71.18977151310344,0
site_00_route_00,1.032,-69.24064578817818,0
site_00_route_00,1.034,-71.19494155458177,0
site_00_route_00,1.036,-71.1938423076582,0
site_00_route_00,1.038,-71.15982519043898,0
site_00_route_00,1.04,-71.19700585347695,0
site_00_route_00,1.042,-71.19716325608505,0
site_00_route_00,1.044,-71.19667311816569,0
site_00_route_00,1.046,-71.19565436713638,0
site_00_route_00,1.048,-71.19421620862043,0
site_00_route_00,1.05,-71.19152871240992,0
site_00_route_00,1.052,-71.18962090731236,0
site_00_route_00,1.054,-71.18655563372978,0
site_00_route_00,1.056,-71.07552778110949,0
site_00_route_00,1.058,-71.00367789466239,0
site_00_route_00,1.06,-70.94549090237138,0
site_00_route_00,1.062,-70.91136529344962,0
site_00_route_00,1.064,-70.90836180247334,0
site_00_route_00,1.066,-70.93599355016688,0
site_00_route_00,1.068,-71.01218723875299,0
site_00_route_00,1.07,-71.07882212235275,0
site_00_route_00,1.072,-71.1449132734059,0
site_00_route_00,1.074,-71.18890742830007,0
site_00_route_00,1.076,-71.22147780134551,0
site_00_route_00,1.078,-71.21768279561186,0
site_00_route_00,1.08,-71.17850351614541,0
site_00_route_00,1.082,-71.11301251545707,0
site_00_route_00,1.084,-71.03518793790315,0
site_00_route_00,1.086,-70.9624680477756,0
site_00_route_00,1.088,-69.03395537133325,0
site_00_route_00,1.09,-69.01741244322946,0
site_00_route_00,1.092,-69.02445623710167,0
site_00_route_00,1.094,-70.93196089455253,0
site_00_route_00,1.096,-70.99584399364365,0
site_00_route_00,1.098,-71.06330395227691,0
site_00_route_00,1.1,-71.13490553728019,0
site_00_route_00,1.102,-71.17845245904438,0
site_00_route_00,1.104,-71.19145310313228,0
site_00_route_00,1.106,-71.1700450776706,0
site_00_route_00,1.108,-71.11982427654185,0
site_00_route_00,1.11,-71.4487140176273,0
site_00_route_00,1.112,-71.37737225310269,0
site_00_route_00,1.114,-71.32009485153539,0
site_00_route_00,1.116,-71.28855622909808,0
site_00_route_00,1.118,-71.28984210933007,0
site_00_route_00,1.12,-71.32325927937265,0
site_00_route_00,1.122,-71.56632352350728,0
site_00_route_00,1.124,-71.57654576240391,0
site_00_route_00,1.126,-71.58760900457513,0
site_00_route_00,1.128,-71.59625177290529,0
site_00_route_00,1.13,-71.6022495311268,0
site_00_route_00,1.132,-71.58919254087134,0
site_00_route_00,1.134,-71.54962220129565,0
site_00_route_00,1.136,-71.59191572929622,0
site_00_route_00,1.138,-71.58258883466003,0
site_00_route_00,1.14,-71.57334262938366,0
site_00_route_00,1.142,-71.53206515256444,0
site_00_route_00,1.144,-71.53340384096775,0
site_00_route_00,1.146,-71.58092507872696,0
site_00_route_00,1.148,-71.40018658601332,0
site_00_route_00,1.15,-73.99406793267927,0
site_00_route_00,1.152,-69.50655985429005,0
site_00_route_00,1.154,-69.54896364649065,0
site_00_route_00,1.156,-69.58098959860389,0
site_00_route_00,1.158,-71.6029196149527,0
site_00_route_00,1.16,-69.56383620364248,0
site_00_route_00,1.162,-71.51257514117215,0
site_00_route_00,1.164,-71.43707329888913,0
site_00_route_00,1.166,-71.36033761402862,0
site_00_route_00,1.168,-71.31166370904671,0
site_00_route_00,1.17,-71.26903135247188,0
site_00_route_00,1.172,-71.26909432923374,0
site_00_route_00,1.174,-71.30299697806903,0
site_00_route_00,1.176,-71.35213785912251,0
site_00_route_00,1.178,-71.4117704059736,0
site_00_route_00,1.18,-71.46370754643151,0
site_00_route_00,1.182,-71.4957358872797,0
site_00_route_00,1.184,-71.50019742991616,0
site_00_route_00,1.186,-71.47834801960097,0
site_00_route_00,1.188,-71.43633495114814,0
site_00_route_00,1.19,-71.38499273821907,0
site_00_route_00,1.192,-71.33713567881847,0
site_00_route_00,1.194,-71.35171356905835,0
site_00_route_00,1.196,-71.33116714476076,0
site_00_route_00,1.198,-71.33135393948588,0
site_00_route_00,1.2,-71.35136022646188,0
site_00_route_00,1.202,-71.38496709663387,0
site_00_route_00,1.204,-71.57445943984297,0
site_00_route_00,1.206,-71.56928670083401,0
