sample_id,traj_id,query_s,difference_over_target_energy,difference_over_refined_prediction_energy,coarse_full_csi_nmse,refined_full_csi_nmse
occlusion_019:1:3625,occlusion_019,0.05000000074505806,5.5709274093419945e-14,3.776269394712374e-13,0.6298062205314636,0.6298062205314636
occlusion_019:1:3625,occlusion_019,0.10000000149011612,4.581110924601175e-14,3.3551556829345733e-13,0.6352167129516602,0.6352167129516602
occlusion_019:1:3625,occlusion_019,0.20000000298023224,6.96898416185626e-14,4.091935664112959e-13,0.5867897272109985,0.5867897272109985
occlusion_019:1:3625,occlusion_019,0.5,5.32167549030867e-14,3.416158009146134e-13,0.5998350381851196,0.5998350381851196
cruise_008:2:769,cruise_008,0.009999999776482582,6.109695179390147e-14,3.4618410193036484e-13,0.7539595365524292,0.7539594769477844
cruise_008:2:769,cruise_008,0.019999999552965164,4.885482207501899e-14,2.772228900299752e-13,0.7544756531715393,0.7544756531715393
cruise_008:2:769,cruise_008,0.05000000074505806,5.192941518926717e-14,3.010851411304497e-13,0.7589325904846191,0.7589325308799744
cruise_008:2:769,cruise_008,0.10000000149011612,5.77815588346249e-14,3.448098062043025e-13,0.7656516432762146,0.765651524066925
cruise_008:2:769,cruise_008,0.20000000298023224,4.375037309814133e-14,2.775820340277755e-13,0.7799459099769592,0.7799460291862488
cruise_008:2:769,cruise_008,0.5,3.492208484736987e-14,2.603875118385727e-13,0.8335081338882446,0.833508312702179
cruise_011:2:1913,cruise_011,0.009999999776482582,1.0167041812725456e-13,9.126854504643151e-13,0.8680521845817566,0.8680521845817566
cruise_011:2:1913,cruise_011,0.019999999552965164,8.109878618114335e-14,7.294649879968752e-13,0.866766095161438,0.866766095161438
cruise_011:2:1913,cruise_011,0.05000000074505806,6.66446408849919e-14,6.021319249858376e-13,0.8625394105911255,0.8625394701957703
cruise_011:2:1913,cruise_011,0.10000000149011612,8.464323409328353e-14,7.687647012900036e-13,0.8561614751815796,0.8561614751815796
cruise_011:2:1913,cruise_011,0.20000000298023224,9.459520252004993e-14,8.57676353832737e-13,0.8444594144821167,0.8444595336914062
cruise_011:2:1913,cruise_011,0.5,9.390198012749891e-14,8.145026263569047e-13,0.8344007134437561,0.8344007134437561
cruise_016:2:1749,cruise_016,0.009999999776482582,1.166223456188343e-13,2.598708673192814e-13,0.38339802622795105,0.3833979666233063
cruise_016:2:1749,cruise_016,0.019999999552965164,1.2896689480020762e-13,2.874474139035551e-13,0.386537104845047,0.3865370452404022
cruise_016:2:1749,cruise_016,0.05000000074505806,8.881747547455169e-14,1.9673653846144976e-13,0.39381682872772217,0.39381685853004456
