sample_id,traj_id,scenario,cutoff_s,query_s,history_count,pattern,los_transition,query_los,ablation,query_band_ms,error,energy,nmse,amplitude_nmse,shape_correlation,gain_error_db,gain_abs_error_db,run
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.2000000029802322,18,dropout,False,False,none,100-200,8.127240214150788e-09,4.139908468120401e-12,1963.1448974609373,1890.39990234375,0.0051470696926116,32.93757629394531,32.93757629394531,neural_flow_seed43
occlusion_011:45:1424,occlusion_011,occlusion,2.848,0.5,16,uniform,True,False,none,200-500,2.684004414277297e-07,4.002917788903382e-12,67051.1953125,66714.5,0.0001525422412669,48.26397705078125,48.26397705078125,tpatchgnn_seed17
occlusion_011:25:1479,occlusion_011,occlusion,2.958,0.5,26,bursty,True,False,none,200-500,2.309665916300219e-07,4.135132340710168e-12,55854.703125,55543.296875,0.0001574090711073,47.470176696777344,47.470176696777344,tpatchgnn_seed17
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.050000000745058,18,dropout,False,False,none,20-50,1.0254090199168787e-07,3.959257834779129e-12,25899.021484375,25691.201171875,5.769371637143195e-05,44.13305282592773,44.13305282592773,tpatchgnn_seed17
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.1000000014901161,18,dropout,False,False,none,50-100,1.0173531705959249e-07,4.019860833093247e-12,25308.169921875,25103.181640625,8.356986654689535e-05,44.032936096191406,44.032936096191406,tpatchgnn_seed17
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.2000000029802322,18,dropout,False,False,none,100-200,9.401001932474173e-08,4.139908468120401e-12,22708.236328125,22512.28515625,9.499667066847906e-05,43.56172943115234,43.56172943115234,tpatchgnn_seed17
occlusion_011:45:1424,occlusion_011,occlusion,2.848,0.5,16,uniform,True,False,none,200-500,7.947734957269859e-06,4.002917788903382e-12,1985485.375,1982700.5,9.752154437592252e-05,62.978607177734375,62.978607177734375,tpatchgnn_seed29
occlusion_011:30:1371,occlusion_011,occlusion,2.742,0.5,24,uniform,True,False,none,200-500,1.470283041271614e-05,3.7824604559588686e-11,388710.75,387508.6875,1.771964093677525e-06,55.896270751953125,55.896270751953125,tpatchgnn_seed29
occlusion_011:25:1479,occlusion_011,occlusion,2.958,0.5,26,bursty,True,False,none,200-500,1.0133247769772424e-06,4.135132340710168e-12,245052.578125,244133.703125,0.000182357020094,53.89277648925781,53.89277648925781,tpatchgnn_seed29
occlusion_011:0:1628,occlusion_011,occlusion,3.256,0.050000000745058,30,bursty,False,False,none,20-50,1.6603172525719859e-07,3.951984139244358e-12,42012.2421875,41631.25,0.0007273875526152,46.233882904052734,46.233882904052734,tpatchgnn_seed29
occlusion_011:0:1628,occlusion_011,occlusion,3.256,0.1000000014901161,30,bursty,False,False,none,50-100,1.5717063206466264e-07,4.012569790323717e-12,39169.5703125,38806.30078125,0.0005968604818917,45.930137634277344,45.930137634277344,tpatchgnn_seed29
occlusion_011:45:1424,occlusion_011,occlusion,2.848,0.5,16,uniform,True,False,none,200-500,6.3466291067015845e-06,4.002917788903382e-12,1585500.625,1583099.0,0.0002437548537272,62.001556396484375,62.001556396484375,tpatchgnn_seed43
occlusion_011:30:1371,occlusion_011,occlusion,2.742,0.5,24,uniform,True,False,none,200-500,1.7491329344920814e-05,3.7824604559588686e-11,462432.59375,461129.75,8.659182640258223e-06,56.65043640136719,56.65043640136719,tpatchgnn_seed43
occlusion_011:25:1479,occlusion_011,occlusion,2.958,0.5,26,bursty,True,False,none,200-500,1.275854629056994e-06,4.135132340710168e-12,308540.21875,307515.0,0.0008911014301702,54.89356231689453,54.89356231689453,tpatchgnn_seed43
occlusion_011:25:1479,occlusion_011,occlusion,2.958,0.2000000029802322,26,bursty,True,False,none,100-200,3.595580210458138e-06,8.702209786104476e-11,41318.01171875,40967.57421875,0.0001569710875628,46.16101837158203,46.16101837158203,tpatchgnn_seed43
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.050000000745058,18,dropout,False,False,none,20-50,3.2179503506313274e-08,3.959257834779129e-12,8127.66064453125,7960.1875,0.0013000481994822,39.09601593017578,39.09601593017578,tpatchgnn_seed43
